type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,ste_mler
1,0.42,0.0008914124071788199,0.42,0.016718712204452053,0.03
1,0.44,0.000901516297151878,0.66,0.016245758538765455,0.0
1,0.53,-0.000530257142269499,1.0,0.018693209381319336,0.0
1,0.42,0.001272573424709273,0.09,0.01754236631838161,0.0
1,0.35,0.0005928113651659728,0.24,0.013308941451758123,0.0
1,0.41,0.00048414283304243214,0.12,0.016430523514352244,0.0
1,0.4,0.0005725059172840517,0.14,0.015714643854744168,0.0
1,0.39,0.0019913777833673995,0.06,0.022088806118448025,0.0
1,0.42,0.0015997395186497939,0.1,0.017849059672780724,0.0
1,0.4,0.0005623584165593779,0.16,0.01600312746890711,0.0
1,0.44,0.0002381791243654353,0.48,0.015313934260472204,0.0
1,0.35,0.04625141242396868,0.05,0.031052810913711763,0.08
1,0.34,0.008287781171775276,0.05,0.019131145242721952,0.01
1,0.51,0.0017530266627658253,0.4,0.019004257448653847,0.0
1,0.35,0.0010313533251084064,0.02,0.00900040014439483,0.0
1,0.33,0.00600829340847769,0.04,0.02177588019365711,0.0
1,0.47,0.0006097632607168982,0.18,0.01325419369539037,0.0
1,0.47,0.00015189536291375448,0.89,0.013676659714593826,0.0
1,0.5,5.58448218731959e-06,0.86,0.01003335464479089,0.0
1,0.51,0.00027100840202391805,0.93,0.015767045629972023,0.0
1,0.4,0.003059237579370065,0.66,0.02253211566125139,0.0
1,0.43,0.0018928934071764762,0.82,0.02215751749998511,0.0
1,0.46,0.0008276810761326135,0.68,0.01709724436349656,0.0
1,0.45,0.010328924186742697,0.02,0.02467273289459484,0.0
1,0.35,0.0029517889362747326,0.24,0.0185952012679435,0.01
1,0.34,0.00762752573594882,0.08,0.02633089072625869,0.01
1,0.34,0.006505162342599126,0.05,0.020978019626371414,0.0
1,0.43,0.00039434438920235175,0.24,0.013856675467284628,0.0
1,0.4,0.00059083859231549,0.23,0.01832480843249943,0.0
1,0.38,0.0010455352178047085,0.12,0.01689388205589412,0.0
1,0.47,0.0012363842871592617,0.05,0.01607561841950653,0.0
1,0.38,0.0011975967013828223,0.16,0.020058001363227877,0.0
1,0.48,0.00038755761846801916,0.16,0.017956745063251723,0.0
1,0.41,0.0005320106432235634,0.26,0.015571278509381132,0.0
1,0.4,0.0006551050183906524,0.71,0.016431784707081835,0.0
1,0.44,0.003392514687705181,0.11,0.020060891349419057,0.0
1,0.51,0.0002598443932773878,0.57,0.014816510266803884,0.0
1,0.5,0.0004518632619516512,0.14,0.01770594682331587,0.0
1,0.48,0.0007708655589075778,0.11,0.018791718371851545,0.0
1,0.35,0.048105460314277246,0.06,0.03424266095073463,0.08
1,0.21,0.06004637003957545,0.05,0.03681500818773376,0.1
1,0.47,0.005514239128583186,0.02,0.026977670351964786,0.12
1,0.41,0.000768160068414427,0.02,0.012566035475302984,0.0
1,0.33,0.001366017875519869,0.05,0.01612137296482516,0.02
1,0.33,0.008358770825137354,0.08,0.023425151303785936,0.11
1,0.45,2.8284543438778087e-05,1.0,0.008020027896969014,0.0
1,0.39,0.015127425483076239,0.03,0.023309183426147673,0.04
1,0.4,5.0504485040194346e-05,1.0,0.008738483098041124,0.0
1,0.49,5.103922066150063e-05,1.0,0.009968332344114959,0.0
1,0.48,0.00038599197665707696,0.77,0.018558820090353534,0.0
1,0.43,9.152768171711969e-05,0.89,0.013488944563748688,0.02
1,0.47,3.199026804535067e-05,1.0,0.009819115885347642,0.01
1,0.51,4.205131767589201e-05,0.97,0.008828390734585814,0.0
1,0.49,1.7590696739100482e-05,0.9,0.009728738255777874,0.0
1,0.46,0.0001906128869346907,0.76,0.00981871515690209,0.0
1,0.2,0.01901716279176249,0.07,0.02006253884752027,0.0
1,0.35,0.0011768216170112205,0.04,0.013056731898619387,0.0
1,0.43,0.0020243450254675732,0.35,0.01964073611269166,0.04
1,0.46,0.00011445075847606608,1.0,0.014637429926034187,0.0
1,0.39,0.0013454889652756946,0.43,0.017934870663540978,0.0
1,0.37,0.010197437932397578,0.04,0.018201746657490744,0.0
1,0.38,0.004761513887284236,0.07,0.01920252383723313,0.0
1,0.37,0.0010482427265773168,0.27,0.010312419919197532,0.02
1,0.44,0.0008007793750518342,0.44,0.011383896957149087,0.0
1,0.53,6.362158316568792e-05,0.53,0.015885578786643182,0.0
1,0.46,0.00017116657986665734,0.86,0.012632492385439419,0.0
1,0.33,0.0008564430703354306,0.35,0.01049701573552659,0.0
1,0.38,0.0007522310260481529,0.07,0.01200707838488832,0.0
1,0.34,0.003725422496372431,0.11,0.017160491930173032,0.0
1,0.53,-9.921991924993243e-05,0.99,0.015458294860918204,0.0
1,0.4,0.00233302786306495,0.02,0.018669415975066626,0.0
1,0.39,0.00014101923532253477,0.04,0.008549209012481851,0.0
1,0.54,8.057109490820936e-05,0.94,0.017408239202315302,0.0
1,0.43,0.0002263959795383544,0.99,0.01233216884575195,0.02
1,0.61,-0.0006790959451226633,0.85,0.017007531494081376,0.0
1,0.53,2.6438725437984975e-05,0.57,0.015711997892007622,0.0
1,0.38,0.005354155135452613,0.07,0.021955523625555362,0.0
1,0.39,0.011653118834650339,0.05,0.026775703239101178,0.0
1,0.48,0.00014908099201548373,0.71,0.010908823077366975,0.0
1,0.27,0.0030456301792522473,0.07,0.017347286230070345,0.0
1,0.43,0.00045990887240895544,0.51,0.014934385161574738,0.0
1,0.41,0.00272471020112942,0.15,0.017598217346159767,0.0
1,0.53,-0.00013283217040910452,0.99,0.011306324737735397,0.0
1,0.36,0.0008920393076888707,0.24,0.014415455275575025,0.0
1,0.48,0.0010581971047169082,0.22,0.01875039602034198,0.0
1,0.52,-6.795884123056103e-05,1.0,0.018060426453396467,0.0
1,0.53,0.00012258025782698097,0.77,0.01823090659970036,0.0
1,0.55,-0.00010971826130506754,1.0,0.01602160636411527,0.0
1,0.43,0.002762511260127997,0.35,0.018121998825652134,0.0
1,0.45,0.0002724221324525095,0.52,0.013286147431202875,0.0
1,0.4,0.009316581417970392,0.02,0.023592056220003748,0.07
1,0.47,0.002524132720482948,0.48,0.019100063697131457,0.0
1,0.43,0.000617413610206296,0.9,0.017505228107183766,0.0
1,0.42,0.0008239539243590136,0.1,0.01061024446103591,0.0
1,0.56,-8.23212440142883e-05,1.0,0.012626354816386466,0.0
1,0.51,0.0003577473510781724,0.43,0.01682492479773852,0.0
1,0.35,0.0008281169318010785,0.19,0.01499367927869013,0.0
1,0.49,8.643622812322354e-05,1.0,0.013473397742934597,0.0
1,0.39,0.0025337840777479043,0.06,0.01706640880377106,0.0
1,0.43,0.0005749484639161875,0.3,0.014661137877289622,0.0
1,0.4,0.0010437610251138691,0.67,0.02081406707509561,0.0
1,0.41,0.0037036254499023015,0.13,0.018398844929687005,0.09
1,0.48,0.00021829850069819565,0.92,0.014054208726337261,0.0
1,0.38,0.0012644119625626986,0.3,0.014165003016067943,0.0
1,0.44,0.00046884301640504414,0.31,0.013348017597296796,0.0
1,0.48,0.00014827713002200457,0.9,0.01280665284861542,0.0
1,0.45,0.00232419040147566,0.03,0.02094674817616478,0.0
1,0.34,0.0010292946450848578,0.18,0.017608789798188484,0.0
1,0.54,-8.428223074231255e-07,0.91,0.01458048330597708,0.0
1,0.47,0.0020904674851157123,0.07,0.017940566567936366,0.0
1,0.46,0.0005025343774728963,0.52,0.0188911230905044,0.0
1,0.52,0.0005400772960805816,0.59,0.019006244967767514,0.0
1,0.38,0.002731601874299528,0.15,0.01809863571074597,0.01
1,0.53,0.00011628072668693941,0.64,0.017967727023759244,0.0
1,0.45,0.0008260415336377421,0.42,0.01604590118378861,0.0
1,0.46,0.00010416525658190846,1.0,0.011261446730678191,0.0
1,0.47,0.002251720884053974,0.24,0.023588097606723275,0.0
1,0.45,0.003676841331963706,0.17,0.019088805610408995,0.0
1,0.41,0.0002456135922831348,0.7,0.012523472557433708,0.0
1,0.36,0.007125871889729044,0.05,0.023071798845710964,0.0
1,0.49,1.8640605187215724e-05,1.0,0.014545016280696127,0.0
