1574818608.5344522,[[0.01876982]]
1574818608.6734076,[[0.004898]]
1574818610.5512993,[[0.00440881]]
1574818612.43319,[[0.02427917]]
1574818614.3795574,[[0.0036707]]
1574818616.3639104,[[0.01665693]]
1574818618.2512965,[[0.01789545]]
1574818620.1636739,[[0.00619125]]
1574818622.047061,[[0.01592756]]
1574818623.9954329,[[0.01770189]]
1574818625.9862878,[[0.01291619]]
1574818627.9121637,[[0.01329561]]
1574818630.7712398,[[0.01416203]]
1574818632.6951156,[[0.00613769]]
1574818634.637988,[[0.00328912]]
1574818636.5263813,[[0.01250662]]
1574818638.49574,[[0.01695261]]
1574818640.3331492,[[0.0227719]]
1574818642.2410316,[[0.02014965]]
1574818644.152911,[[0.0076015]]
1574818646.1342738,[[0.01192163]]
1574818648.0301597,[[0.00881003]]
1574818649.9080517,[[0.01132382]]
1574818651.8539207,[[0.03297748]]
1574818654.6900065,[[0.00589744]]
1574818656.613884,[[0.00654303]]
1574818658.5932467,[[0.00956011]]
1574818660.4986262,[[0.00560029]]
1574818662.459994,[[0.0112329]]
1574818664.3628788,[[0.01244936]]
1574818666.277262,[[0.0264759]]
1574818668.18664,[[0.0079801]]
1574818670.173999,[[0.00723198]]
1574818672.0328972,[[0.01056608]]
1574818673.977767,[[0.00845243]]
1574818675.8281734,[[0.01179209]]
1574818678.7297318,[[0.01527872]]
1574818680.6476135,[[0.04146159]]
1574818682.5689952,[[0.00750449]]
1574818684.4793742,[[0.01364668]]
1574818686.429739,[[0.00742657]]
1574818688.2816396,[[0.00910057]]
1574818690.2660031,[[0.02926758]]
1574818692.1059077,[[0.01353365]]
1574818694.0907643,[[0.00723608]]
1574818696.075622,[[0.04325136]]
1574818698.0559866,[[0.00914085]]
1574818700.7965965,[[0.0100617]]
1574818702.846432,[[0.01284582]]
1574818704.7243237,[[0.02334029]]
1574818706.593722,[[0.00821223]]
1574818708.5176005,[[0.00456672]]
1574818710.3545058,[[0.00473173]]
1574818712.2503917,[[0.02625212]]
1574818714.2032595,[[0.01958802]]
1574818716.1706197,[[0.01211756]]
1574818718.1099877,[[0.00479729]]
1574818719.9473896,[[0.02296465]]
1574818721.8967552,[[0.00742299]]
1574818723.847623,[[0.00667948]]
1574818726.722694,[[0.00993037]]
1574818728.6345747,[[0.01066112]]
1574818730.5874417,[[0.01463186]]
1574818732.4788337,[[0.01524181]]
1574818734.397713,[[0.01332344]]
1574818736.3175912,[[0.00968968]]
1574818738.3274405,[[0.00890347]]
1574818740.1923356,[[0.10389066]]
1574818742.107217,[[0.02379761]]
1574818744.0525906,[[0.01670496]]
1574818745.886496,[[0.00796789]]
1574818747.9108381,[[0.00334109]]
1574818750.7104342,[[0.00999562]]
1574818752.6183176,[[0.00463362]]
1574818754.533701,[[0.00275656]]
1574818756.4545786,[[0.01252446]]
1574818758.4384356,[[0.00983293]]
1574818760.315328,[[0.0090345]]
1574818762.2631972,[[0.01946225]]
1574818764.1765804,[[0.02994787]]
1574818766.095459,[[0.00918579]]
1574818768.0143397,[[0.00528634]]
1574818769.9362195,[[0.0049159]]
1574818771.8111167,[[0.01694813]]
1574818774.7331736,[[0.00429133]]
1574818776.665553,[[0.0187556]]
1574818778.5764344,[[0.01146761]]
1574818780.3973465,[[0.00917469]]
1574818782.3382175,[[0.01094783]]
1574818784.3010857,[[0.01078793]]
1574818786.2819462,[[0.00927885]]
1574818788.153336,[[0.00868574]]
1574818790.0817082,[[0.00929072]]
1574818791.9990838,[[0.0142089]]
1574818793.9184594,[[0.00864181]]
1574818796.8205152,[[0.01070396]]
1574818798.7388902,[[0.01167937]]
1574818800.656266,[[0.00779265]]
1574818802.5306551,[[0.07965704]]
1574818804.5420012,[[0.00912843]]
1574818806.4243877,[[0.01125966]]
1574818808.3527603,[[0.00663077]]
1574818810.303125,[[0.0056679]]
1574818812.1555223,[[0.00448797]]
1574818814.0688999,[[0.00726586]]
1574818815.9182973,[[0.03620907]]
1574818817.8496711,[[0.03472616]]
1574818820.745726,[[0.00484949]]
1574818822.663605,[[0.04067087]]
1574818824.64496,[[0.04921396]]
1574818826.5703337,[[0.01489272]]
1574818828.4762163,[[0.00494872]]
1574818830.44908,[[0.00680177]]
