type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,zcr_mean,ste_mler
0,-0.494949494949495,0.0008712258210099931,0.15151515151515152,0.08574373780148324,0.0683224224426897,0.1919191919191919
0,-0.5151515151515151,0.00010321661029423581,0.04040404040404041,0.036008867930857766,0.02788463701604014,0.2222222222222222
0,-0.47474747474747475,0.0002010426430296684,0.020202020202020204,0.04608447862555595,0.03328384063350656,0.1919191919191919
0,-0.43434343434343436,0.00012902851617514066,0.010101010101010102,0.0389320758561937,0.03300263211176351,0.2222222222222222
0,-0.5757575757575758,0.0004157540824404991,0.030303030303030304,0.05352014723203907,0.02995433173606893,0.16161616161616163
0,-0.41414141414141414,0.00032787570058567496,0.020202020202020204,0.056399654473390126,0.048322872376324474,0.1111111111111111
0,-0.5757575757575758,0.0001586088447428233,0.020202020202020204,0.03628473471618544,0.02487008166295471,0.32323232323232326
0,-0.6363636363636364,0.0010245779011348532,0.10101010101010101,0.07769077501388649,0.04504960518323546,0.15151515151515152
0,-0.494949494949495,0.00031568096190457453,0.020202020202020204,0.05360470927051715,0.03796315043531078,0.15151515151515152
0,-0.3939393939393939,0.0002990395519369252,0.020202020202020204,0.052444124831569565,0.04183257969449506,0.25252525252525254
0,-0.5151515151515151,0.0003271601569016904,0.020202020202020204,0.053163183757870824,0.03619716091876448,0.18181818181818182
0,-0.3939393939393939,9.991771522093583e-05,0.04040404040404041,0.041364928958372786,0.041810083012755614,0.21212121212121213
0,-0.5757575757575758,9.076685378512675e-05,0.010101010101010102,0.033371114682678574,0.025916177363838826,0.16161616161616163
0,-0.47474747474747475,0.0005328476019524924,0.0707070707070707,0.06914188702015263,0.04850284583024004,0.20202020202020202
0,-0.5555555555555556,0.00021731530445547568,0.030303030303030304,0.038950160573362244,0.024285167937729186,0.12121212121212122
0,-0.6161616161616161,0.0002830440413720647,0.010101010101010102,0.04623449321125176,0.02938066635171312,0.13131313131313133
0,-0.31313131313131315,0.00043101059651683463,0.030303030303030304,0.058059082585775794,0.04453218150322826,0.40404040404040403
0,-0.5353535353535354,0.00024046920758680513,0.010101010101010102,0.04362514387835177,0.02735596499516321,0.13131313131313133
0,-0.3333333333333333,0.0005071518866526911,0.050505050505050504,0.06442145674173852,0.05022384198330745,0.36363636363636365
0,-0.5555555555555556,0.00027163447922786234,0.020202020202020204,0.04466502999495503,0.03386875435873208,0.24242424242424243
0,-0.47474747474747475,0.0002847502316357527,0.04040404040404041,0.04781390140803211,0.032136509864794945,0.1919191919191919
0,-0.494949494949495,0.0005567173519716578,0.030303030303030304,0.06500176093704702,0.041236417628399795,0.23232323232323232
0,-0.47474747474747475,0.00013248024819721642,0.050505050505050504,0.038423565171628336,0.03131538098130526,0.24242424242424243
0,-0.5353535353535354,0.00013134318543056448,0.050505050505050504,0.04235515220241033,0.03448741310656678,0.26262626262626265
0,-0.41414141414141414,0.0003144086832281555,0.04040404040404041,0.050765774943148774,0.03771568693617691,0.23232323232323232
0,-0.25252525252525254,0.00017799728960689453,0.30303030303030304,0.06335307436505792,0.06041483881127533,0.31313131313131315
0,-0.5555555555555556,0.0003444915158581629,0.030303030303030304,0.050855462045304785,0.038199365593574945,0.12121212121212122
0,-0.6767676767676768,0.0001914456254007526,0.08080808080808081,0.042579081507152144,0.02930192796562506,0.08080808080808081
